species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,id,class_name
Adelie Penguin (Pygoscelis adeliae),39.1,18.7,181.0,3750.0,Penguin_0,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.5,17.4,186.0,3800.0,Penguin_1,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.3,18.0,195.0,3250.0,Penguin_2,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.7,19.3,193.0,3450.0,Penguin_3,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.3,20.6,190.0,3650.0,Penguin_4,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.9,17.8,181.0,3625.0,Penguin_5,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.2,19.6,195.0,4675.0,Penguin_6,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.1,18.1,193.0,3475.0,Penguin_7,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.0,20.2,190.0,4250.0,Penguin_8,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,17.1,186.0,3300.0,Penguin_9,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,17.3,180.0,3700.0,Penguin_10,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,17.6,182.0,3200.0,Penguin_11,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.6,21.2,191.0,3800.0,Penguin_12,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.6,21.1,198.0,4400.0,Penguin_13,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.6,17.8,185.0,3700.0,Penguin_14,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.7,19.0,195.0,3450.0,Penguin_15,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.5,20.7,197.0,4500.0,Penguin_16,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.4,18.4,184.0,3325.0,Penguin_17,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),46.0,21.5,194.0,4200.0,Penguin_18,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,18.3,174.0,3400.0,Penguin_19,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.7,18.7,180.0,3600.0,Penguin_20,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.9,19.2,189.0,3800.0,Penguin_21,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.2,18.1,185.0,3950.0,Penguin_22,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.8,17.2,180.0,3800.0,Penguin_23,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.3,18.9,187.0,3800.0,Penguin_24,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,18.6,183.0,3550.0,Penguin_25,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.5,17.9,187.0,3200.0,Penguin_26,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.9,18.6,172.0,3150.0,Penguin_27,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.5,18.9,180.0,3950.0,Penguin_28,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.5,16.7,178.0,3250.0,Penguin_29,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.2,18.1,178.0,3900.0,Penguin_30,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.5,17.8,188.0,3300.0,Penguin_31,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.9,18.9,184.0,3900.0,Penguin_32,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.4,17.0,195.0,3325.0,Penguin_33,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.2,21.1,196.0,4150.0,Penguin_34,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.8,20.0,190.0,3950.0,Penguin_35,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.2,18.5,180.0,3550.0,Penguin_36,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.6,19.3,181.0,3300.0,Penguin_37,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.8,19.1,184.0,4650.0,Penguin_38,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.5,18.0,182.0,3150.0,Penguin_39,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.8,18.4,195.0,3900.0,Penguin_40,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,18.5,186.0,3100.0,Penguin_41,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),44.1,19.7,196.0,4400.0,Penguin_42,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.0,16.9,185.0,3000.0,Penguin_43,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,18.8,190.0,4600.0,Penguin_44,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,19.0,182.0,3425.0,Penguin_45,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.5,18.9,179.0,2975.0,Penguin_46,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,17.9,190.0,3450.0,Penguin_47,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.3,21.2,191.0,4150.0,Penguin_48,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,17.7,186.0,3500.0,Penguin_49,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.1,18.9,188.0,4300.0,Penguin_50,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.0,17.9,190.0,3450.0,Penguin_51,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.0,19.5,200.0,4050.0,Penguin_52,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.5,18.1,187.0,2900.0,Penguin_53,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.4,18.6,191.0,3700.0,Penguin_54,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.0,17.5,186.0,3550.0,Penguin_55,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,18.8,193.0,3800.0,Penguin_56,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.5,16.6,181.0,2850.0,Penguin_57,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.6,19.1,194.0,3750.0,Penguin_58,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.7,16.9,185.0,3150.0,Penguin_59,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.3,21.1,195.0,4400.0,Penguin_60,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.6,17.0,185.0,3600.0,Penguin_61,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,18.2,192.0,4050.0,Penguin_62,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.4,17.1,184.0,2850.0,Penguin_63,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.6,18.0,192.0,3950.0,Penguin_64,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.5,16.2,195.0,3350.0,Penguin_65,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,19.1,188.0,4100.0,Penguin_66,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.9,16.6,190.0,3050.0,Penguin_67,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.8,19.4,198.0,4450.0,Penguin_68,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),33.5,19.0,190.0,3600.0,Penguin_69,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.7,18.4,190.0,3900.0,Penguin_70,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,17.2,196.0,3550.0,Penguin_71,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),45.8,18.9,197.0,4150.0,Penguin_72,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.5,17.5,190.0,3700.0,Penguin_73,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.8,18.5,195.0,4250.0,Penguin_74,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.9,16.8,191.0,3700.0,Penguin_75,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.2,19.4,184.0,3900.0,Penguin_76,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.2,16.1,187.0,3550.0,Penguin_77,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.1,19.1,195.0,4000.0,Penguin_78,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.6,17.2,189.0,3200.0,Penguin_79,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.9,17.6,196.0,4700.0,Penguin_80,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.7,18.8,187.0,3800.0,Penguin_81,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.1,19.4,193.0,4200.0,Penguin_82,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.3,17.8,191.0,3350.0,Penguin_83,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.3,20.3,194.0,3550.0,Penguin_84,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.3,19.5,190.0,3800.0,Penguin_85,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.9,18.6,189.0,3500.0,Penguin_86,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.3,19.2,189.0,3950.0,Penguin_87,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.9,18.8,190.0,3600.0,Penguin_88,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.7,18.0,202.0,3550.0,Penguin_89,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,18.1,205.0,4300.0,Penguin_90,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),34.0,17.1,185.0,3400.0,Penguin_91,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,18.1,186.0,4450.0,Penguin_92,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.2,17.3,187.0,3300.0,Penguin_93,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.8,18.9,208.0,4300.0,Penguin_94,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.1,18.6,190.0,3700.0,Penguin_95,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.3,18.5,196.0,4350.0,Penguin_96,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),33.1,16.1,178.0,2900.0,Penguin_97,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),43.2,18.5,192.0,4100.0,Penguin_98,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.0,17.9,192.0,3725.0,Penguin_99,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.0,20.0,203.0,4725.0,Penguin_100,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.7,16.0,183.0,3075.0,Penguin_101,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,20.0,190.0,4250.0,Penguin_102,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.9,18.6,193.0,2925.0,Penguin_103,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.7,18.9,184.0,3550.0,Penguin_104,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.6,17.2,199.0,3750.0,Penguin_105,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.2,20.0,190.0,3900.0,Penguin_106,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.1,17.0,181.0,3175.0,Penguin_107,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),43.2,19.0,197.0,4775.0,Penguin_108,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.1,16.5,198.0,3825.0,Penguin_109,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),45.6,20.3,191.0,4600.0,Penguin_110,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.7,17.7,193.0,3200.0,Penguin_111,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.2,19.5,197.0,4275.0,Penguin_112,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,20.7,191.0,3900.0,Penguin_113,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.7,18.3,196.0,4075.0,Penguin_114,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.6,17.0,188.0,2900.0,Penguin_115,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.3,20.5,199.0,3775.0,Penguin_116,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.7,17.0,189.0,3350.0,Penguin_117,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,18.6,189.0,3325.0,Penguin_118,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.2,17.2,187.0,3150.0,Penguin_119,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.7,19.8,198.0,3500.0,Penguin_120,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,17.0,176.0,3450.0,Penguin_121,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.4,18.5,202.0,3875.0,Penguin_122,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.2,15.9,186.0,3050.0,Penguin_123,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,19.0,199.0,4000.0,Penguin_124,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.8,17.6,191.0,3275.0,Penguin_125,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.5,18.3,195.0,4300.0,Penguin_126,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.0,17.1,191.0,3050.0,Penguin_127,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),44.1,18.0,210.0,4000.0,Penguin_128,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.5,17.9,190.0,3325.0,Penguin_129,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),43.1,19.2,197.0,3500.0,Penguin_130,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.8,18.5,193.0,3500.0,Penguin_131,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.5,18.5,199.0,4475.0,Penguin_132,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.1,17.6,187.0,3425.0,Penguin_133,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,17.5,190.0,3900.0,Penguin_134,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.6,17.5,191.0,3175.0,Penguin_135,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,20.1,200.0,3975.0,Penguin_136,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.0,16.5,185.0,3400.0,Penguin_137,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.7,17.9,193.0,4250.0,Penguin_138,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,17.1,193.0,3400.0,Penguin_139,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,17.2,187.0,3475.0,Penguin_140,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),32.1,15.5,188.0,3050.0,Penguin_141,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.7,17.0,190.0,3725.0,Penguin_142,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.3,16.8,192.0,3000.0,Penguin_143,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.0,18.7,185.0,3650.0,Penguin_144,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.2,18.6,190.0,4250.0,Penguin_145,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.6,18.4,184.0,3475.0,Penguin_146,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,17.8,195.0,3450.0,Penguin_147,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,18.1,193.0,3750.0,Penguin_148,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,17.1,187.0,3700.0,Penguin_149,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.5,18.5,201.0,4000.0,Penguin_150,Adelie Penguin (Pygoscelis adeliae)
Chinstrap penguin (Pygoscelis antarctica),46.5,17.9,192.0,3500.0,Penguin_151,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.0,19.5,196.0,3900.0,Penguin_152,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,19.2,193.0,3650.0,Penguin_153,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.4,18.7,188.0,3525.0,Penguin_154,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.7,19.8,197.0,3725.0,Penguin_155,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.2,17.8,198.0,3950.0,Penguin_156,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.1,18.2,178.0,3250.0,Penguin_157,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,18.2,197.0,3750.0,Penguin_158,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.0,18.9,195.0,4150.0,Penguin_159,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,19.9,198.0,3700.0,Penguin_160,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.6,17.8,193.0,3800.0,Penguin_161,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.7,20.3,194.0,3775.0,Penguin_162,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),47.0,17.3,185.0,3700.0,Penguin_163,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.0,18.1,201.0,4050.0,Penguin_164,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.9,17.1,190.0,3575.0,Penguin_165,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.5,19.6,201.0,4050.0,Penguin_166,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.3,20.0,197.0,3300.0,Penguin_167,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),58.0,17.8,181.0,3700.0,Penguin_168,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.4,18.6,190.0,3450.0,Penguin_169,Chinstrap penguin (Pygoscelis antarctica)
